catalog_id	title_zh	intro_url
SCD1746	F1世界大獎賽2000	https://chiuinan.github.io/game/game/intro/eng/e52/f1wgp2000.htm
SCD1738	F1挑戰賽99-02／	https://chiuinan.github.io/game/game/intro/eng/e52/f1c9902.htm
SWZ012	F1熱血賽車	https://chiuinan.github.io/game/game/intro/eng/e52/mansell.htm
	F1賽車1994／	https://chiuinan.github.io/game/game/intro/eng/e52/f1.htm
SCD1739	F1賽車模擬	https://chiuinan.github.io/game/game/intro/eng/e52/f1rs.htm
SCD1749	F1賽車模擬2	https://chiuinan.github.io/game/game/intro/eng/e52/mgprs2.htm
SCD1740	F1賽車經理	https://chiuinan.github.io/game/game/intro/eng/e33/f1man.htm
SCD1741	F1賽車經理專業版	https://chiuinan.github.io/game/game/intro/eng/e33/f1manp.htm
SCD1742	F1車隊經理2000	https://chiuinan.github.io/game/game/intro/eng/e33/f1m2000.htm
SCD0642	FinFin海豚鳥／	https://chiuinan.github.io/game/game/intro/ch/c33/finfin.htm
SCD0755	Fool Panda歷險記	https://chiuinan.github.io/game/game/intro/ch/c44/fpanda.htm
SCD2045	FRB右腦飛行	https://chiuinan.github.io/game/game/intro/ch/c44/frb.htm
SCD2311	G-Nome	https://chiuinan.github.io/game/game/intro/eng/e51/gnome.htm
	Go-Moku 95	https://chiuinan.github.io/game/game/intro/eng/e41/gomoku95.htm
	GP500摩托賽	https://chiuinan.github.io/game/game/intro/eng/e52/gpx5002.htm
SWE085	GP大賽車	https://chiuinan.github.io/game/game/intro/eng/e52/gpc.htm
SCD1747	GP賽車傳奇	https://chiuinan.github.io/game/game/intro/eng/e52/gpl.htm
SCD1892	GTI錦標賽／	https://chiuinan.github.io/game/game/intro/eng/e52/gtirace.htm
SCD1931	GT超級房車賽	https://chiuinan.github.io/game/game/intro/eng/e52/spcar.htm
SCD1205	Hello Kitty 25週年紀念珍藏	https://chiuinan.github.io/game/game/intro/ch/c44/hkitty.htm
	Herakles	https://chiuinan.github.io/game/game/intro/eng/e41/herakles.htm
SCD1003	H！神探	https://chiuinan.github.io/game/game/intro/ch/c21/hdetect.htm
SCD2401	ID4星際終結者	https://chiuinan.github.io/game/game/intro/eng/e51/id4.htm
SCD1300	IL-2暴風雪	https://chiuinan.github.io/game/game/intro/eng/e51/il2.htm
SCD1301	IL-2暴風雪	https://chiuinan.github.io/game/game/intro/eng/e51/il2fb.htm
SCD1303	IL-2暴風雪	https://chiuinan.github.io/game/game/intro/eng/e51/il2-1946.htm
SCD1827	iM1A2艾布拉姆斯坦克	https://chiuinan.github.io/game/game/intro/eng/e32/im1a2.htm
