# 光譜資訊（T-Time）開發／代理清單
# 來源：掃 content/games/*.md 的 developer=光譜 或 publisher_tw 含光譜（現存 catalog）。
# 用途：保留光譜完整產品足跡（含後 2000、不在 DOS 遊戲收錄範圍內的代理款）。
# 狀態：已 reject／已刪除的光譜款尚未從 git history 全面回掃，日後發現漏的再 append。
# 欄位：id  year  role(dev/pub)  status(active/rejected)  published  title_zh
cdg-2812	2005	pub	active	true	發明工坊2：重建天空之城的榮光
cdg-1423	2005	pub	active	true	秋之回憶4：從今以後
cdg-1551	2006	dev	active	false	香港地產王
cdg-0781	2006	pub	active	false	基因戰士
cdg-3580	2006	pub	active	false	羅馬的榮耀
cdg-3709	2006	pub	active	false	魔法使與主人
cdg-1329	2006	pub	active	false	野戰雄獅1
cdg-3169	2006	pub	active	true	模擬上班族
cdg-4850	2006	pub	active	true	魔法少女：未知的天空艾塔提亞
cdg-1172	2006	pub	active	true	沉默的艦隊2
cdg-3170	2006	pub	active	true	模擬上班族2
cdg-2287	2006	pub	active	true	救世英豪3
cdg-0433	2007	dev	active	true	天下霸圖2
cdg-0396	2007	pub	active	false	大戰略：大東亞興亡史2
cdg-4852	2007	pub	active	true	真實之淚
cdg-4841	2007	pub	active	true	精靈協奏曲
cdg-3477	2007	pub	active	true	藍色天使隊2
cdg-1424	2007	pub	active	true	秋之回憶4外傳：從今以後 again
cdg-1481	2007	pub	active	true	美少女夢工坊5
cdg-1425	2007	pub	active	true	秋之回憶5：中斷的影片
cdg-0810	2008	dev	active	true	富甲天下5
cdg-3026	2008	pub	active	false	手機少女
cdg-1790	2008	pub	active	false	愛麗絲奏鳴曲1：命運之輪
cdg-3564	2008	pub	active	false	現代大戰略2008
cdg-0042	2008	pub	active	false	A列車8
cdg-4851	2008	pub	active	true	天使計畫
cdg-1419	2008	pub	active	true	秋之回憶：雨後
cdg-2315	2008	pub	active	true	新世紀福音戰士：機密檔案
cdg-1426	2008	pub	active	true	秋之回憶5外傳：安可
cdg-4844	2009	dev	active	true	台灣麻將王2
