id	title	year	developer	region	publisher_tw	signals
cdg-2428	星際爭霸戰：精英部隊2	2003	Ritual	null		post2000
cdg-2434	星際爭霸戰：Legacy	2006	Mad Doc	null		post2000
cdg-2470	暴力機車	2005	Sproing	null		post2000
cdg-2474	曙光特攻	2005	Metropolis	null	英特衛	post2000
cdg-2478	最後一戰	2003	Microsoft	null		post2000
cdg-2502	硬卡車：啟示錄	2006	Targem Games	null		post2000
cdg-2512	碰撞飛車	2006	Moonbyte	null		post2000
cdg-2523	聖女之歌	2004	唯晶信息	null	寰宇之星	post2000
cdg-2524	聖女之歌零	2016	唯晶	TW		post2000
cdg-2535	聖殿武士	2004	Starbreeze	null	華星	post2000
cdg-2554	迷城國度	2006	Falcom	JP	英特衛	post2000
cdg-2563	迷霧之島5	2005	Cyan	null		post2000
cdg-2591	邪惡天才	2004	Elixir	null		post2000
cdg-2601	雪佛萊極品跑車賽	2003	Steel Monkeys	null		post2000
cdg-2672	雷射超人3	2003	Ubisoft	FR		post2000
cdg-2683	雷電3	2005	Seibu	null	智冠	post2000
cdg-2728	夢幻咖啡屋：咖啡驛站	2003	遊戲天堂	null		post2000
cdg-2730	夢幻大富翁：魔法大亂鬥	2003	伊思儷	TW		post2000
cdg-2735	夢幻彈珠台3	2006	TopWare	null		post2000
cdg-2740	夢幻撲克牌 大老二幻想曲	2003	伊思儷	TW		post2000
cdg-2759	夢幻魔法牌之風月寶鑑	2003	伊思儷	TW		post2000
cdg-2766	夢幻麻將館7：濕樂園	2003	伊思儷	TW		post2000
cdg-2767	夢幻麻將館8：媚惑學園	2004	伊思儷	TW		post2000
cdg-2768	夢幻麻將館8：媚惑學園續章	2004	伊思儷	TW		post2000
cdg-2769	夢幻麻將館9：雀聖爭霸	2005	伊思儷	TW		post2000
cdg-2799	瘋狂計程車3	2003	Hitmaker	null		post2000
cdg-2815	發音通	1997	岡業	null		edu
cdg-2817	精靈傳說	2004	Targem	null	英寶格	post2000
cdg-2848	蠟筆小新	1998	廣藝	null		dup:cdg-2847
cdg-2899	銀河生死鬥：復仇祭	2004	Irrational Games	null	裴凡迪環球	post2000
cdg-2918	銀河飛龍	1998	MicroProse	US		dup:cdg-2919
cdg-2920	銀河飛龍	1999	MicroProse	US		dup:cdg-2919
cdg-2938	刀劍封魔錄外傳：上古傳說	2003	像素軟件	null	英特衛	post2000
cdg-2948	刺客任務3：密約浮影	2004	IO	null		post2000
cdg-2982	創業王	2004	光譜	TW		post2000
cdg-2993	加勒比海盜	2003	Akella	null	東方娛動	post2000
cdg-3002	勁爆水上滑板	2003	Beenox	null		post2000
cdg-3021	勁爆美國職籃2005	2004	EA	US		post2000
cdg-3028	手談2	2003	弈緣	null		post2000
cdg-3029	打字狀元專業版	1999	嘉軒文化	null		edu
cdg-3031	抗日：血戰上海灘	2003	歡樂億派	null		post2000
cdg-3032	抗日：血戰緬甸	2003	歡樂億派	null		post2000
cdg-3038	拱豬	1986	Shih Ching Lin	null		dup:cdg-3037
cdg-3068	末日危城2	2005	GPG	null		post2000
cdg-3077	李世民傳奇：乾坤鏡	2003	斯普軟件	null		post2000
cdg-3081	東方妖妖夢	2003	上海愛麗絲幻樂團	null		post2000
cdg-3102	棋靈王之明星圍棋	2004	冠捷	TW		post2000
cdg-3103	棋靈王之明星象棋	2004	冠捷	TW		post2000
cdg-3110	極品醉車1	2005	Juice	null		post2000
cdg-3119	極樂酒店	2003	淡船筆工作室	null	伊思儷	post2000
cdg-3130	極速快感8	2004	EA	US		post2000
cdg-3131	極速快感9	2005	EA	US		post2000
cdg-3136	極速房車賽1	2003	Codemasters	GB		post2000
cdg-3137	極速房車賽2	2004	Codemasters	GB		post2000
cdg-3140	極速車神	2004	Aqua	null	新造科技	post2000
cdg-3145	極限衝刺1	2004	Bugbear	null		post2000
cdg-3156	榮譽勳章：太平洋戰役	2004	EA	US		post2000
cdg-3178	模擬城市4：福爾摩沙	2003	Maxis	US		post2000
cdg-3182	模擬大樓	1995	ArtDink	null	第三波	dup:cdg-3181
cdg-3184	模擬市民2	2004	Maxis	US		post2000
cdg-3192	模擬樂園3	2004	Frontier	null		post2000
cdg-3193	模擬樂園番外篇：運輸王	2004	Chris Sawyer	null		post2000
cdg-3230	橫掃千軍	1994	Capstone	null		dup:cdg-3231
cdg-3256	火箭車	1985	Konami	JP		foreign-no-tw
cdg-3257	火線命令	2004	ValuSoft	null		post2000
cdg-3269	烈焰戰鎚	2003	Kuju	null		post2000
cdg-3282	無人永生前傳：殺手傑克	2003	Monolith	null	奧美電子	post2000
cdg-3291	無限試駕	2006	Eden	null		post2000
cdg-3344	貨車也瘋狂4	2003	eMotorsports	null		post2000
cdg-3356	賽道狂飆	2003	Nadeo	null	華星	post2000
cdg-3358	賽道狂飆：組合	2006	Nadeo	null		post2000
cdg-3380	戰地風雲：越南	2004	DICE	null		post2000
cdg-3382	戰地風雲2	2006	DICE	null		post2000
cdg-3385	戰慄時空1：次世代	2004	Valve	null		post2000
cdg-3386	戰慄時空2	2004	Valve	null		post2000
cdg-3388	戰慄時空2首部曲：浩劫重生	2006	Valve	null		post2000
cdg-3409	戰鎚40000：破曉之戰	2004	Relic	null		post2000
cdg-3423	花木蘭（2005）	2005	斯普軟件	null	極真	post2000
cdg-3427	英倫霸主3	2004	Impressions Games	null		post2000
cdg-3454	莫蒂爾2	2004	Mirage	null		post2000
cdg-3474	蓮花跑車挑戰賽	2003	Kuju	null		post2000
cdg-3475	蕩神誌	2004	英特衛	null		post2000
cdg-3482	蘭島物語：少女的約定	2007	Circle	null		post2000
cdg-3508	特勤機甲隊6	2004	工畫堂	JP	華義	post2000
cdg-3513	特洛伊木馬屠城記	2004	Zono	null		post2000
cdg-3538	獅子心	2003	Reflexive	null	英特衛	post2000
cdg-3550	獵魔者	2004	People Can Fly	null	英特衛	post2000
cdg-3576	羅密歐賽車	2005	Milestone	null		post2000
cdg-3579	羅馬爭霸	2003	Independent Arts	null		post2000
cdg-3588	鋼鐵雄心	2003	Paradox	null		post2000
cdg-3589	鋼鐵雄心2	2005	Paradox	null		post2000
cdg-3603	鐵血悍將	2005	Sigma	null	翎盛	post2000
cdg-3614	閃電霹靂車	2004	Project YNP	null		post2000
cdg-3619	關鍵任務：戰火風雲	2004	NovaLogic	null		post2000
cdg-3625	駭客任務2：關鍵抉擇	2005	Shiny	null		post2000
cdg-3640	高賞金越野摩托賽	2003	Techland	null		post2000
cdg-3655	鬼惑	2004	伊思儷	TW		post2000
cdg-3674	魔域幻境2	2003	Legend	null		post2000
cdg-3677	魔域幻境之浴血戰場	2004	Epic MegaGames	null		post2000
cdg-3685	魔導戰記	2009	工畫堂	JP	娛樂通	post2000
cdg-3698	魔戒三部曲	2003	EA	US		post2000
cdg-3700	魔戒前傳：哈比人歷險記	2003	Fizz Factor	null		post2000
cdg-3708	魔法之戰：黑暗印記	2005	Targem	null	英寶格	post2000
cdg-3714	魔法少年	1993	Blue Turtle	null		dup:cdg-3715
cdg-3746	魔法風雲會：天命戰場	2003	Atari	null		post2000
cdg-3810	豔鬼麻將1	2003	伊思儷	TW		post2000
cdg-3811	豔鬼麻將2：還陽記	2004	伊思儷	TW		post2000
cdg-3828	龍與地下城：灰鷹世界	2003	Troika	null		post2000
cdg-3829	龍與地下城：龍晶傳奇	2005	Liquid	null		post2000
cdg-4223	古墓奇兵3資料片：失落的神器	null	Core Design	GB		foreign-no-tw
cdg-4448	瑪利歐教你打字	null	null	null		edu
cdg-5199	微軟模擬飛行 2.0	1984	Sublogic	US		foreign-no-tw
cdg-5200	微軟模擬飛行 3.0	1988	Bruce Artwick Organization	US		foreign-no-tw
cdg-5201	微軟模擬飛行 4.0	1989	Bruce Artwick Organization	US		foreign-no-tw
cdg-5202	微軟模擬飛行 5.1	1995	Microsoft	US		foreign-no-tw
cdg-5203	微軟模擬飛行 95	1996	Microsoft	US		foreign-no-tw
cdg-5204	微軟模擬飛行 98	1997	Microsoft	US		foreign-no-tw
cdg-5205	戰鬥神將	1996	Atomic Games	US		foreign-no-tw
cdg-5206	戰鬥神將2	1997	Atomic Games	US		foreign-no-tw
cdg-5207	戰鬥神將3：俄羅斯戰線	1999	Atomic Games	US		foreign-no-tw
cdg-5208	戰鬥神將4：突出部之役	1999	Atomic Games	US		foreign-no-tw
cdg-5219	巫毒小子	1997	Infogrames	FR		foreign-no-tw
cdg-5225	七喜小子	1993	Virgin Games	US		foreign-no-tw
cdg-5228	超級立體泡泡	2002	Zombie	US		foreign-no-tw
cdg-0006	16張臺灣麻將	1987	第三波	TW		
cdg-0020	3D撞球2	2000	Headgames	null		
cdg-0022	3D立體真實撞球冠軍	1995	Mindscape	null		
cdg-0024	3D鐵路大亨之鐵路之鄉	1999	Dynamix	US		
cdg-0025	3D魔宮聖戰	1996	Toys for Bob	null		
cdg-0026	3D麻將 3	2000	Megaware	null	松崗	
cdg-0031	97GT體感賽車之風馳電掣	1997	Blue Sphere	null	英特衛	
cdg-0033	98國際越野冠軍賽	1997	Europress	null	憶弘	
cdg-0042	A列車8	2008	Artdink	JP	光譜	
cdg-0043	A列車9	2011	Artdink	JP	光譜	
cdg-0044	B17飛行堡壘：第八飛行中隊	2000	Wayward	null		
cdg-0046	C.E.O	1995	Artdink	JP		
cdg-0048	DDR99 Diet Diet Revolution '99	1999	Ez Works	null		
cdg-0050	D之食卓	1995	Warp	null		
cdg-0051	E.I.特戰隊	1998	Micro Forte	null	歐樂影視	
cdg-0055	e族在賽車	2001	Rage	null	會宇	
cdg-0057	F-22猛禽戰鬥機	1997	NovaLogic	null		
cdg-0058	F-22雷霆戰機	1996	NovaLogic	null		
cdg-0059	F16攻擊者	1998	GSI	null		
cdg-0060	F1一級方程式賽車2000	2000	Image Space	null		
cdg-0061	F1一級方程式賽車2001	2001	Image Space	null		
cdg-0063	F1一級方程式錦標賽2000賽季	2000	Image Space	null		
cdg-0064	F1世界大獎賽	2000	Lankhor	null		
cdg-0065	F1世界大獎賽2000	2001	Eutechnyx	null	第三波	
cdg-0067	F1熱血賽車	1993	Gremlin	null	智冠	
cdg-0068	F1賽車1994	1994	Lankhor	null		
cdg-0069	F1賽車模擬	1997	Ubisoft	FR	松崗	
cdg-0070	F1賽車模擬2	1998	Ubisoft	FR		
cdg-0071	F1賽車經理	1996	Software 2000	null		
cdg-0072	F1賽車經理專業版	1997	Software 2000	null		
cdg-0073	F1車隊經理2000	2000	IG	null		
cdg-0074	FinFin海豚鳥	1996	富士通	null	展筠	
cdg-0075	Fool Panda歷險記	2000	旭力亞	null		
cdg-0076	FRB右腦飛行	1998	大時科技	null		
cdg-0081	GP賽車傳奇	1998	Papyrus	null		
cdg-0083	GT超級房車賽	1999	Image Space	null		
cdg-0086	H！神探	2002	伊思儷	TW		
cdg-0087	ID4星際終結者	1997	Radical	null		
cdg-0091	iM1A2艾布拉姆斯坦克	1997	Charybdis	null		
cdg-0100	LIS太空號數學歷險	1998	Sound Source	null	正謙	
cdg-0103	NBA內線進攻2000	2000	High Voltage Software	null	微軟	
cdg-0110	Pango	1983	Sheng-Chung Liu	null		
cdg-0111	PC拉力賽	1995	Digital Dreams	null		
cdg-0112	PC魔術方塊	1991	Software 2000	null		
cdg-0116	SODA越野賽車	1997	Software Allies	null		
cdg-0117	Sound it out！說的容易：字母篇	1999	酷家族多媒體	null		
cdg-0118	Shift!	1999	歡樂盒	TW		
cdg-0125	VR機車賽	1995	Artificial Software	null		
cdg-0126	VR終極戰警1	1996	SEGA	JP		
cdg-0127	VR終極戰警2	1997	SEGA	JP		
cdg-0128	VR網球96	1996	Digital Dreams	null	熊貓	
cdg-0129	WIN麻將	1999	捷友	TW		
cdg-0132	X摩托2000	2000	Deibus	null		
cdg-0133	X檔案	1998	HyperBole	null		
cdg-0137	Z字特攻隊	1996	Bitmap Brothers	null	松崗	
cdg-0141	一級方程式賽車96	1997	Bizarre Creations	null		
cdg-0142	一級方程式賽車97	1998	Bizarre Creations	null		
cdg-0143	一級方程式賽車99	1999	Studio 33	null		
cdg-0160	七海爭霸	1997	Meridian'93	null	華義	
cdg-0168	八球豪華版	1993	Amtex	null		
