id	title_zh	year	developer	publisher_tw	loc	platform	chiuinan_url
cdg-1867	福爾摩斯探案2：玫瑰紋身案件	1996	Mythos		localized	DOS	https://chiuinan.github.io/game/game/intro/ch/c21/holmes2.htm
cdg-2065	終極動員令：紅色警戒1	1996	Westwood		localized	DOS	https://chiuinan.github.io/game/game/intro/ch/c32/ra1.htm
cdg-2270	黑暗之蠱2	1996	Cyberdreams	松崗	localized	Win3.1、WinXP	https://chiuinan.github.io/game/game/intro/ch/c21/darksed2.htm
cdg-2670	雷射超人1	1996	Ubisoft	聯科	localized	DOS	https://chiuinan.github.io/game/game/intro/ch/c52/rayman.htm
cdg-2839	蛇王之寶珠傳說	1996	捷鴻		native	DOS	https://chiuinan.github.io/game/game/intro/ch/c44/snake.htm
cdg-3027	手談	1996	豐海		native	DOS	https://chiuinan.github.io/game/game/intro/ch/c41/ht.htm
cdg-3085	林間學校	1996	Foster		localized	Win3.1、WinXP	https://chiuinan.github.io/game/game/intro/ch/c22/lixx.htm
cdg-3216	機械戰神	1996	Kinesoft	普威爾	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c51/zerodiv.htm
cdg-3289	無聲狂嘯	1996	Cyberdreams	松崗	localized	DOS	https://chiuinan.github.io/game/game/intro/ch/c21/scream.htm
cdg-3565	現代大戰略	1996	SystemSoft	大宇	localized	DOS	https://chiuinan.github.io/game/game/intro/ch/c32/ex.htm
cdg-3738	魔法門之英雄無敵2：王位爭奪戰	1996	New World Computing		localized	DOS	https://chiuinan.github.io/game/game/intro/ch/c32/homm2.htm
cdg-3816	龍劍客2：龍人之心	1996	Cryo	第三波	localized	DOS	https://chiuinan.github.io/game/game/intro/ch/c21/dlore2.htm
cdg-3817	龍召還娘1	1996	Gimmick House	歡樂盒	localized	DOS	https://chiuinan.github.io/game/game/intro/ch/c11/silk.htm
cdg-0160	七海爭霸	1997	Meridian'93	華義	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c32/admiral.htm
cdg-0204	三國之星海風雲	1997	Dong Seo Interactive	怡碩	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c32/3kd.htm
cdg-0228	三國志演義：官渡篇	1997	歡樂盒		native	Win9x	https://chiuinan.github.io/game/game/intro/ch/c32/guandu.htm
cdg-0429	大魔王物語	1997	勁一番	智冠	native	DOS	https://chiuinan.github.io/game/game/intro/ch/c31/bee.htm
cdg-0760	地城守護者1	1997	Bullfrog		localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c32/keeper.htm
cdg-0812	寒武爭戰	1997	森雅	華義	native	DOS	https://chiuinan.github.io/game/game/intro/ch/c32/hwg.htm
cdg-1258	游素蘭的愛情處方箋	1997	頂尖拍檔	松崗	native	Win9x	https://chiuinan.github.io/game/game/intro/ch/c44/tarot2.htm
cdg-1286	亞特蘭提斯1：失落的傳說	1997	Cryo	第三波	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c21/atlant1.htm
cdg-1489	美猴王	1997	騰圖聯合電子		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c11/mkking.htm
cdg-1498	音速小子3與納克魯斯	1997	Sonic		localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c52/sonic3k.htm
